Date,High,Low,Open,Close,Volume,Adj Close,Ticker,Daily Return
2019-03-29,49.79999923706055,47.79999923706055,49.79999923706055,48.31999969482422,53590800.0,45.27115249633789,WFC,-0.01568550071346364
2019-06-28,47.70000076293945,46.79999923706055,46.810001373291016,47.31999969482422,31030900.0,44.76282501220703,WFC,0.022250842873235754
2019-09-30,50.849998474121094,50.060001373291016,50.77000045776367,50.439998626708984,26897100.0,48.25140380859375,WFC,-0.005324410978975069
2019-12-31,53.81999969482422,53.459999084472656,53.529998779296875,53.79999923706055,12566000.0,51.95815658569336,WFC,0.003731424675406325
2020-03-31,29.75,28.15999984741211,29.40999984741211,28.700000762939453,36920300.0,28.013185501098633,WFC,-0.040775372386709696
2020-06-30,25.8700008392334,25.170000076293945,25.209999084472656,25.600000381469727,46610000.0,25.49508285522461,WFC,-0.0038910558030491593
2020-09-30,23.8700008392334,23.25,23.360000610351562,23.510000228881836,43058500.0,23.510000228881836,WFC,0.010748065242474736
2019-03-29,62.810001373291016,61.959999084472656,62.33000183105469,62.220001220703125,13406300.0,58.56212615966797,C,0.0038721608213703185
2019-06-28,70.20999908447266,69.12999725341797,69.27999877929688,70.02999877929688,20388700.0,66.33724975585938,C,0.027586129467052967
2019-09-30,69.9000015258789,69.01000213623047,69.80000305175781,69.08000183105469,8661000.0,65.92928314208984,C,-0.005470813218385162
2019-12-31,79.94000244140625,79.0999984741211,79.31999969482422,79.88999938964844,8031200.0,76.79124450683594,C,0.004779228589080864
2020-03-31,44.22999954223633,41.650001525878906,43.630001068115234,42.119998931884766,26219100.0,40.75469207763672,C,-0.0444646537896487
2020-06-30,51.54999923706055,49.650001525878906,49.810001373291016,51.099998474121094,23360400.0,49.96839904785156,C,0.0161064651206555
2020-09-30,43.59000015258789,42.5,42.58000183105469,43.11000061035156,22520900.0,42.58224868774414,C,0.016265908571145626
2019-03-29,91.33999633789062,90.08999633789062,90.9800033569336,90.41000366210938,1066500.0,86.25275421142578,NTRS,0.0037749033211531557
2019-06-28,90.22000122070312,88.69000244140625,88.80999755859375,90.0,2889300.0,86.45097351074219,NTRS,0.02459023360324064
2019-09-30,93.87999725341797,92.83000183105469,93.62999725341797,93.31999969482422,745400.0,90.28915405273438,NTRS,0.0019325993796073249
2019-12-31,106.8499984741211,105.83000183105469,106.2699966430664,106.23999786376953,741400.0,103.45823669433594,NTRS,-0.0007524304771850954
2020-03-31,76.88999938964844,73.97000122070312,74.6500015258789,75.45999908447266,1585500.0,74.21102142333984,NTRS,-0.004354152325727223
2020-06-30,79.69000244140625,76.08999633789062,76.38999938964844,79.33999633789062,1468300.0,78.65510559082031,NTRS,0.03984259764320086
2020-09-30,79.02999877929688,77.4000015258789,78.12999725341797,77.97000122070312,798100.0,77.97000122070312,NTRS,0.006584071033544525
2019-03-29,66.72000122070312,65.69999694824219,66.43000030517578,65.80999755859375,2106200.0,62.53502655029297,STT,0.00015203752862147368
2019-06-28,56.68000030517578,55.540000915527344,56.189998626708984,56.060001373291016,9041900.0,53.72396469116211,STT,0.01594781141222823
2019-09-30,59.630001068115234,58.81999969482422,59.5099983215332,59.189998626708984,1952500.0,57.221107482910156,STT,-0.0015182076416540013
2019-12-31,79.5,78.76000213623047,79.41000366210938,79.0999984741211,1368600.0,76.9698715209961,STT,-0.003276210175388594
2020-03-31,54.09000015258789,50.91999816894531,51.25,53.27000045776367,6702200.0,52.361412048339844,STT,0.03941462990575828
2020-06-30,64.06999969482422,60.72999954223633,60.72999954223633,63.54999923706055,1983100.0,62.99821853637695,STT,0.041120548630381615
2020-09-30,60.34000015258789,58.72999954223633,59.529998779296875,59.33000183105469,2789900.0,59.33000183105469,STT,-0.000673692126489156
2019-03-29,50.95000076293945,50.31999969482422,50.720001220703125,50.43000030517578,4933000.0,47.90343475341797,BK,0.0007938546516765843
2019-06-28,44.560001373291016,43.77000045776367,44.0,44.150001525878906,7683500.0,42.18134307861328,BK,0.01751567256411679
2019-09-30,45.47999954223633,44.779998779296875,44.880001068115234,45.209999084472656,5694300.0,43.47909164428711,BK,0.015270591064771688
2019-12-31,50.47999954223633,50.060001373291016,50.13999938964844,50.33000183105469,2264800.0,48.72947692871094,BK,0.002989305647551399
2020-03-31,34.880001068115234,33.290000915527344,33.560001373291016,33.68000030517578,7047300.0,32.82537078857422,BK,-0.009411824838155503
2020-06-30,38.880001068115234,36.880001068115234,36.97999954223633,38.650001525878906,8099100.0,37.99866485595703,BK,0.04600814849374468
2020-09-30,34.52000045776367,33.869998931884766,33.869998931884766,34.34000015258789,8480000.0,34.0501708984375,BK,0.01387660894969045
2019-03-29,46.88999938964844,46.25,46.709999084472656,46.529998779296875,8284100.0,43.8194580078125,TFC,0.00475058551368801
2019-06-28,49.290000915527344,48.52000045776367,48.70000076293945,49.130001068115234,7337800.0,46.65981674194336,TFC,0.01971775916365681
2019-09-30,53.81999969482422,53.2400016784668,53.77000045776367,53.369998931884766,6651800.0,51.18022537231445,TFC,-0.0016835061931449458
2019-12-31,56.59000015258789,56.06999969482422,56.439998626708984,56.31999969482422,4090800.0,54.452693939208984,TFC,-0.0017724034027907232
2020-03-31,32.43000030517578,30.209999084472656,31.809999465942383,30.84000015258789,8324700.0,30.066015243530273,TFC,-0.05282562679075775
2020-06-30,37.869998931884766,36.33000183105469,36.33000183105469,37.54999923706055,7230500.0,37.135948181152344,TFC,0.022046786284178665
2020-09-30,38.2400016784668,37.0,37.040000915527344,38.04999923706055,7951800.0,38.04999923706055,TFC,0.028100539386467505
